Año,ID_estado,Nombre_estado,ID_Municipio,Municipio,Partido,Votos,Votos_validos,Votos_candidato_sin_registro,Votos_nulos,Total_de_votos,Lista_nominal,Coalición
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PAN_PRS,12818,29183,13,987,30170,48403,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PRI_PVEM,10037,29183,13,987,30170,48403,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PRD_PT_MC,4975,29183,13,987,30170,48403,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,NUAL,351,29183,13,987,30170,48403,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,MORENA,412,29183,13,987,30170,48403,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PH,354,29183,13,987,30170,48403,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,ES,223,29183,13,987,30170,48403,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PAN_PRS,9048,21417,14,845,22262,37887,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PRI_PVEM,4210,21417,14,845,22262,37887,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PRD_PT_MC,939,21417,14,845,22262,37887,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,NUAL,6191,21417,14,845,22262,37887,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,MORENA,566,21417,14,845,22262,37887,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,ES,298,21417,14,845,22262,37887,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,MHTG,151,21417,14,845,22262,37887,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PAN_PRS,41286,100132,313,2878,103010,186574,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_PVEM_NVA_ALIANZA,28226,100132,313,2878,103010,186574,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRD_PT_MC,15458,100132,313,2878,103010,186574,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,MORENA,7327,100132,313,2878,103010,186574,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PH,3080,100132,313,2878,103010,186574,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,ES,4442,100132,313,2878,103010,186574,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PAN_PRS,31114,74088,201,2176,76264,171602,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PRI_PVEM_NVA_ALIANZA,9913,74088,201,2176,76264,171602,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PRD_PT_MC,24545,74088,201,2176,76264,171602,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,MORENA,4624,74088,201,2176,76264,171602,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PH,1399,74088,201,2176,76264,171602,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,ES,2292,74088,201,2176,76264,171602,No
2015,7,CHIAPAS,1,ACACOYAGUA,PAN,1789,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,PRI,1212,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,PRD,57,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,PVEM,1213,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,NUAL,36,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,PCU,1075,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,MORENA,419,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,ES,11,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,MVC,1967,7786,4,196,7986,11270,No
2015,7,CHIAPAS,1,ACACOYAGUA,PVEM_NVA_ALIANZA,7,7786,4,196,7986,11270,Sí
2015,7,CHIAPAS,2,ACALA,PRI,77,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,PRD,36,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,PT,32,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,PVEM,2532,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,MC,606,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,NUAL,339,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,PCU,2888,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,MORENA,66,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,PH,23,10009,2,200,10211,13940,No
2015,7,CHIAPAS,2,ACALA,MVC,3410,10009,2,200,10211,13940,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PAN,984,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PRI,478,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PRD,592,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PT,414,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PVEM,4836,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,MC,10,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,NUAL,67,11929,1,444,12374,17070,No
2015,7,CHIAPAS,8,ANGEL ALBINO CORZO,PCU,1555,11929,1,444,12374,17070,No
