Año,Nombre_estado,Municipio,Cargo,ID_Municipio,Ayuntamiento,Partido,Nombre_candidato,Sexo,Coalición,Formula
2018,AGUASCALIENTES,RINCON DE ROMOS,Diputación,NA,NA,PAN_PRD_MC,MONICA JANETH JIMENEZ RODRIGUEZ,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,EL LLANO,Diputación,NA,NA,PT_MORENA_ES,JOSE MANUEL GONZALEZ MOTA,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,PABELLON DE ARTEAGA,Diputación,NA,NA,PAN_PRD_MC,JORGE SAUCEDO GAYTAN,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,Diputación,NA,NA,PAN_PRD_MC,KARINA IVETTE EUDAVE DELGADO,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,SALVADOR PEREZ SANCHEZ,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,GUSTAVO ALBERTO BAEZ LEOS,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,JESUS MARIA,Diputación,NA,NA,PAN_PRD_MC,CLAUDIA GUADALUPE DE LIRA BELTRAN,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,CALVILLO,Diputación,NA,NA,PAN_PRD_MC,JOSE MANUEL VELASCO SERNA,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,MONICA BECERRA MORENO,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,ALEJANDRO SERRANO ALMANZA,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,JUAN GUILLERMO ALANIZ DE LEON,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PT_MORENA_ES,HEDER PEDRO GUZMAN ESPEJEL,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,PALOMA CECILIA AMEZQUITA CARREON,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,LUIS ENRIQUE GARCIA LOPEZ,Hombre,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PT_MORENA_ES,ERICA PALOMINO BERNAL,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PT_MORENA_ES,AIDA KARINA BANDA IGLESIAS,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,PATRICIA GARCIA GARCIA,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,AGUASCALIENTES,Diputación,NA,NA,PAN_PRD_MC,GLADYS ADRIANA RAMIREZ AGUILAR,Mujer,Sí,Mayoría relativa
2018,AGUASCALIENTES,NA,Diputación,NA,NA,MORENA,CUAUHTEMOC CARDONA CAMPOS,Hombre,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,PRI,JUAN MANUEL GOMEZ MORALES,Hombre,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,PVEM,SERGIO AUGUSTO LOPEZ RAMIREZ,Hombre,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,NA,MARIO ARMANDO VALDEZ HERRERA,Hombre,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,MORENA,NATZIELLY TERESITA RODRIGUEZ CALZADA,Mujer,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,PRI,MARGARITA GALLEGOS SOTO,Mujer,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,MORENA,MA. IRMA GUILLEN BERMUDEZ,Mujer,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,PRI,ELSA AMABEL LANDIN OLIVARES,Mujer,No,Representación Proporcional
2018,AGUASCALIENTES,NA,Diputación,NA,NA,PRI,ELSA LUCIA ARMENDARIZ SILVA,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,Diputación,4,LOS CABOS,MORENA_ES,HECTOR MANUEL ORTEGA PILLADO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,RAMIRO RUIZ FLORES,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,ESTEBAN OJEDA RAMIREZ,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,MILENA PAOLA QUIROGA ROMERO,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,PERLA GUADALUPE FLORES LEYVA,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,CARLOS JOSE VAN WORMER RUIZ,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,Diputación,4,LOS CABOS,MORENA_ES,MARIA PETRA JUAREZ MACEDA,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,CABO SAN LUCAS,Diputación,4,LOS CABOS,MORENA_ES,HOMERO GONZALEZ MEDRANO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,CABO SAN LUCAS,Diputación,4,LOS CABOS,MORENA_ES,MARIA ROSALBA RODRIGUEZ LOPEZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,CIUDAD CONSTITUCION,Diputación,1,COMONDU,MORENA_ES,SOLEDAD SALDAÑA BAÑALEZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,CIUDAD CONSTITUCION,Diputación,1,COMONDU,MORENA_ES,HUMBERTO ARCE CORDERO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,Diputación,4,LOS CABOS,MORENA_ES,SANDRA GUADALUPE MORENO VAZQUEZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LORETO,Diputación,5,LORETO,C_COMUN_PAN_PRD_PRS_PHBCS,JOSE LUIS PERPULI DREW,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,GUERRERO NEGRO,Diputación,2,MULEGE,MORENA,MARCELO ARMENTA,Hombre,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,LA PAZ,Diputación,3,LA PAZ,MORENA_ES,RIGOBERTO MURILLO AGUILAR,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,Diputación,4,LOS CABOS,MORENA_ES,LORENIA LINETH MONTAÑO RUIZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Diputación,NA,NA,PAN,ELIZABETH ROCHA TORRES,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Diputación,NA,NA,PRI,ANITA BELTRAN PERALTA,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Diputación,NA,NA,PT,MA. MERCEDES MACIEL ORTIZ,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Diputación,NA,NA,PRD,MARICELA PINEDA GARCIA,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Diputación,NA,NA,PHBCS,DANIELA VIVIANA RUBIO AVILES,Mujer,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Presidencia Municipal,1,COMONDU,MORENA_ES,JOSE WALTER VALENZUELA ACOSTA,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Sindicatura,1,COMONDU,MORENA_ES,MIRIAM PATRICIA BERBERH OLGUIN,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,ROSENDO OZUNA CHAVEZ,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,MA. CONCEPCION MAGAÑA MARTINEZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,EDGAR GERARDO GARCIA PEREZ,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,CLAUDIA ZORAIDA CEJA DE DIOS,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,GENARO JAVIER RODRIGUEZ OCSEJO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,MORENA_ES,ERIKA CELENE VENALONZO CAMACHO,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,PRI,FRANCISCO ALEJANDRO GARCIA BERBER,Hombre,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,C_COMUN_PAN_PRD_PRS_PHBCS,MARIA DEL CARMEN NIEBLAS MEZA,Mujer,Sí,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Regiduría,1,COMONDU,Candidatura Independiente,JOSE LUIS GARCIA ROSAS,Hombre,No,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Presidencia Municipal,2,MULEGE,NA,JOSE FELIPE PRADO BAUTISTA,Hombre,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Sindicatura,2,MULEGE,NA,ITALIA VALENZUELA GOMEZ,Mujer,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,JORGE FAUSTO GONZALEZ MAYORAL,Hombre,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,ORALIA ZUÑIGA ESPINOZA,Mujer,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,LUIS MANUEL TALAMANTES ROMERO,Hombre,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,HIROSHIMA FUERTE NUÑEZ,Mujer,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,JOSE IGNACIO ARCE VILLEGAS,Hombre,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,NA,ZAIRA LIZETTE AVILES COTA,Mujer,No,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,C_COMUN_PAN_PRD_PRS_PHBCS,MIGUEL ÁNGEL CONTRERAS LEYVA,Hombre,Sí,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,MORENA_ES,LIZBETH EMERITA PATRON CONTRERAS,Mujer,Sí,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Regiduría,2,MULEGE,C_COMUN_PAN_PRD_PRS_PHBCS,JUAN JESUS OSUNA RANGEL,Hombre,Sí,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Presidencia Municipal,3,LA PAZ,MORENA_ES,RUBEN GREGORIO MUÑOZ ALVAREZ,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Sindicatura,3,LA PAZ,MORENA_ES,MARTHA JUDITH PAEZ OSUNA,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,JORGE PAVEL CASTRO RIOS,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,MARCELA AMADOR MORGA,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,JOSE MARIA AVILES CASTRO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,IRMA YOLANDA ROBLEDO GALAVIZ,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,JUAN RAMON DOMINGUEZ LEYVA,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,CECILIA HIGUERA MURILLO,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,HOMERO DAVIS CASTRO,Hombre,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,MORENA_ES,BEATRIZ ADRIANA HERNANDEZ PAREDES,Mujer,Sí,Mayoría relativa
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,C_COMUN_PAN_PRD_PRS_PHBCS,PILAR EDUARDO CARBALLO RUIZ,Hombre,Sí,Representación Proporcional
2018,BAJA CALIFORNIA SUR,NA,Regiduría,3,LA PAZ,PRI,PEDRO BARROSO AGRAMONT,Hombre,No,Representación Proporcional
