Año,Partido,Concepto,Categoria,Monto
2014,PAN,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,PRI,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,PRD,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,PT,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,PVEM,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,MC,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,NUAL,Actividades Ordinarias Permanentes,Igualitario,163319404.04
2014,PAN,Actividades Específicas,Igualitario,4899582.12
2014,PRI,Actividades Específicas,Igualitario,4899582.12
2014,PRD,Actividades Específicas,Igualitario,4899582.12
2014,PT,Actividades Específicas,Igualitario,4899582.12
2014,PVEM,Actividades Específicas,Igualitario,4899582.12
2014,MC,Actividades Específicas,Igualitario,4899582.12
2014,NUAL,Actividades Específicas,Igualitario,4899582.12
2014,PAN,Franquicia Postal,Igualitario,10887960.27
2014,PRI,Franquicia Postal,Igualitario,10887960.27
2014,PRD,Franquicia Postal,Igualitario,10887960.27
2014,PT,Franquicia Postal,Igualitario,10887960.27
2014,PVEM,Franquicia Postal,Igualitario,10887960.27
2014,MC,Franquicia Postal,Igualitario,10887960.27
2014,NUAL,Franquicia Postal,Igualitario,10887960.27
2014,PAN,Franquicia Telegráfica,Igualitario,99071
2014,PRI,Franquicia Telegráfica,Igualitario,99071
2014,PRD,Franquicia Telegráfica,Igualitario,99071
2014,PT,Franquicia Telegráfica,Igualitario,99071
2014,PVEM,Franquicia Telegráfica,Igualitario,99071
2014,MC,Franquicia Telegráfica,Igualitario,99071
2014,NUAL,Franquicia Telegráfica,Igualitario,99071
2015,PAN,Actividades Ordinarias Permanentes,Igualitario,157498845.21
2015,PRI,Actividades Ordinarias Permanentes,Igualitario,157498845.21
2015,PRD,Actividades Ordinarias Permanentes,Igualitario,157498845.21
2015,PT,Actividades Ordinarias Permanentes,Igualitario,157498845.21
2015,PVEM,Actividades Ordinarias Permanentes,Igualitario,157498845.21
2015,MC,Actividades Ordinarias Permanentes,Igualitario,157498845.21
